sqft_living,sqft_lot,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated
2430,32496,0,0,3,2430,0,1993,0
1930,7452,0,0,3,1430,500,1984,0
1660,10140,0,0,4,1370,290,1980,0
1400,7293,0,0,4,1400,0,1963,0
2660,4000,0,0,3,2660,0,2001,0
2000,13300,0,0,4,1200,800,1968,0
2130,8078,0,0,4,1380,750,1977,0
1352,1694,0,0,3,1352,0,2007,0
1750,11340,0,1,4,1300,450,1987,0
2320,8100,0,0,4,1160,1160,1956,0
1420,81892,0,0,3,1180,240,1956,2001
1940,3784,0,0,3,1940,0,2003,0
1410,4800,0,0,3,1410,0,1940,1996
1360,9948,0,0,3,1360,0,1977,2004
1220,7250,0,0,3,1220,0,1962,2003
2830,20345,0,0,3,1980,850,1979,2014
3780,10308,0,0,3,3780,0,1999,0
2330,14289,0,0,4,2330,0,1978,2000
3560,107290,0,0,3,3560,0,1987,2000
1470,70800,0,0,3,1470,0,1976,0
3060,48787,0,0,3,3060,0,1992,0
1030,6127,0,0,3,880,150,1947,2012
1930,9653,0,0,4,1930,0,1968,0
1780,120661,0,0,4,1780,0,1979,0
2000,9202,0,0,4,2000,0,1992,0
1690,9583,0,0,4,1690,0,1969,0
5190,23716,0,2,3,3390,1800,1987,2000
1300,5413,0,0,3,1300,0,1925,1992
2400,29252,0,0,4,2400,0,1982,2011
1150,6634,0,0,3,860,290,1940,1996
2310,7490,0,0,3,2310,0,1980,0
2730,3047,0,0,3,2400,330,2006,0
2840,4500,0,0,3,2840,0,2012,1912
1020,1525,0,0,3,1020,0,2004,2003
1340,1384,0,0,3,1340,0,2008,0
3540,159430,0,0,3,3540,0,2007,0
7270,130017,0,0,3,6420,850,2010,0
998,904,0,0,3,798,200,2007,0
3060,7015,0,0,5,1600,1460,1979,0
2130,6969,0,0,3,2130,0,2003,0
2520,6000,0,0,3,1400,1120,1921,2007
1940,9533,0,0,3,1080,860,1962,2003
1350,1250,0,0,3,1270,80,2006,0
2160,5298,0,0,4,2160,0,1902,0
1370,1350,0,0,3,1010,360,2007,0
5420,101930,0,0,3,3890,1530,2001,0
2830,5000,0,0,3,2830,0,1995,0
2010,2287,0,0,3,1390,620,2014,0
3300,12090,0,0,3,3300,0,1953,0
1230,1391,0,0,3,870,360,2004,2003
1720,7119,0,0,4,1720,0,1952,0
810,2451,0,0,5,810,0,1941,0
1560,8078,1,4,4,1560,0,1928,0
2560,216777,0,0,3,2560,0,1986,0
4700,38412,0,0,3,3420,1280,1978,0
1220,2500,0,0,3,770,450,1910,2006
3650,20150,0,0,4,2360,1290,1975,0
2170,12508,0,0,5,1650,520,1928,1970
2540,228254,0,0,3,1450,1090,1990,2009
910,4500,0,0,4,910,0,1906,1990
2980,4930,0,0,3,2890,90,2000,0
2120,4650,0,1,3,1190,930,1951,1994
3460,3997,0,0,3,2560,900,2004,2003
2480,10090,0,0,3,1300,1180,2004,2003
2200,16921,0,0,3,2200,0,1987,2000
1730,5500,0,0,5,1010,720,1943,0
2920,34527,0,4,4,1800,1120,1954,1983
990,8012,0,0,4,990,0,1966,0
3040,6887,0,0,3,3040,0,1999,0
4530,258746,0,0,4,3200,1330,2003,0
1370,8470,0,0,4,1370,0,1961,2001
1940,4927,0,0,3,1940,0,2004,2003
1040,2643,0,0,3,720,320,2004,2003
1800,8623,0,0,4,1360,440,1980,0
1720,5000,0,0,3,1720,0,1954,2014
980,6380,0,0,3,760,220,1941,1994
3110,6142,0,0,3,3110,0,2004,2003
2100,7715,0,0,3,1250,850,2013,1923
2020,11358,0,0,4,1190,830,1956,0
2350,11914,0,0,4,2350,0,1961,2001
3290,12329,0,0,4,3290,0,1968,0
2180,7813,0,0,3,2180,0,1986,0
1290,1334,0,0,3,1290,0,2007,0
1460,9750,0,0,4,1460,0,1969,0
1290,2828,0,0,3,1290,0,2008,0
2350,3150,0,0,4,1690,660,1910,0
1080,8100,0,0,4,1080,0,1955,2009
2670,13463,0,0,4,2670,0,1989,0
3680,5759,0,0,3,2840,840,2003,0
1440,8040,0,0,3,960,480,1951,1994
1940,4800,0,0,5,1030,910,1922,1956
1280,9898,0,0,3,1280,0,1968,1997
2980,27144,1,2,5,2180,800,1917,0
970,8580,0,0,3,970,0,1959,1989
2110,5000,0,2,4,1640,470,1930,0
1480,1369,0,0,3,1480,0,2009,0
700,10540,0,0,3,700,0,1953,0
2700,6120,0,0,4,1350,1350,1962,0
2330,9687,0,3,3,2330,0,1918,0
3380,20021,0,0,4,1690,1690,1963,0
2600,2750,0,0,3,1620,980,1936,0
1360,8100,0,0,3,860,500,1975,0
2780,6369,0,0,3,1590,1190,1978,0
1250,53143,0,0,5,1250,0,1945,0
2620,8950,0,0,3,2620,0,1992,0
1350,7620,0,0,5,1350,0,1941,0
2400,3340,0,0,4,1200,1200,1964,0
2760,5000,0,0,5,1680,1080,1928,1970
3070,16028,0,3,3,1870,1200,1976,0
2040,28593,1,3,4,2040,0,1919,1990
1770,6000,0,0,5,1770,0,1911,1981
3490,9170,0,0,3,3490,0,2012,1912
830,1333,0,0,3,830,0,2005,0
980,895,0,0,3,670,310,2009,0
1570,1433,0,0,3,1570,0,2010,0
3270,5187,0,0,3,3110,160,2014,0
2160,6223,0,0,3,2160,0,2010,0
3280,11000,0,0,3,2320,960,2008,0
3360,7685,0,0,3,3360,0,2001,0
3150,7119,0,0,3,3150,0,2013,1923
1810,1846,0,0,4,1440,370,2009,0
2740,7140,0,0,3,2740,0,1993,0
3830,35000,0,0,3,2130,1700,1976,0
3190,5283,0,0,3,3190,0,2007,0
2350,10450,0,0,3,1390,960,1977,2004
2510,8165,0,0,4,1610,900,1972,0
1680,4950,0,0,3,1680,0,2006,0
1770,6610,0,0,4,960,810,1954,1979
1090,7315,0,0,5,1090,0,1981,0
3001,5710,0,0,3,3001,0,2006,0
2450,4591,0,0,3,2450,0,1994,0
3610,59677,0,0,3,2440,1170,2003,0
2250,7500,0,0,5,1200,1050,1956,0
1240,7735,0,0,4,1240,0,1957,2001
2260,6000,0,0,3,1430,830,1958,2004
2090,8164,0,0,4,1070,1020,1963,0
2020,7902,0,0,3,1220,800,1962,2003
1960,5000,0,0,5,980,980,1911,1984
3120,16672,0,0,4,3120,0,1969,0
1250,7500,0,0,3,1250,0,1967,2011
1490,9600,0,0,4,1170,320,1987,0
2890,2370,0,0,3,2290,600,1906,2014
1900,33888,0,0,4,1900,0,1942,1982
1680,2400,0,0,5,870,810,1922,1956
2030,8398,0,0,4,2030,0,1975,0
3740,8700,0,0,3,2260,1480,2004,2003
1580,11750,0,0,4,1180,400,1951,1999
1780,6120,0,0,4,1390,390,1927,0
910,6232,0,0,3,910,0,1943,2002
3440,8100,0,0,3,3440,0,1970,2014
1740,13750,0,0,4,1740,0,1975,0
3400,8970,0,0,4,1700,1700,1959,0
4400,16625,0,0,3,4400,0,2003,0
2010,14298,0,0,3,2010,0,1977,2004
2710,38180,0,0,4,2710,0,1977,0
5300,26211,1,2,2,4570,730,1923,0
1310,3880,0,0,3,1090,220,1956,2001
1950,12559,0,0,3,1950,0,1939,1969
1040,6535,0,0,3,1040,0,1947,2012
1090,7200,0,0,3,1090,0,1968,1997
650,5360,0,0,4,650,0,1931,0
1480,6600,0,2,3,740,740,1943,2002
790,2640,0,0,3,790,0,1973,2013
3560,11119,0,2,3,2290,1270,1986,0
3000,5548,0,0,3,3000,0,2006,0
3490,7494,0,3,3,3490,0,2000,0
2340,10495,0,0,4,2340,0,1967,0
1650,8254,0,0,5,1060,590,1951,0
1940,5820,0,0,5,1150,790,1944,0
3410,9600,0,0,4,1870,1540,1968,0
1710,4050,0,0,3,1710,0,1909,2004
2740,4000,0,0,5,1930,810,1905,0
1250,892,0,0,3,1040,210,2010,0
2450,42180,0,0,4,2450,0,1978,2000
1690,8190,0,0,4,1690,0,1958,1972
1950,13320,0,0,4,1370,580,1969,0
2290,7125,0,0,3,1190,1100,1964,2000
3370,17458,0,2,5,2000,1370,1982,0
1090,8640,0,0,4,1090,0,1973,0
1190,9486,0,0,4,1190,0,1953,1983
3530,7924,0,0,3,3530,0,2001,0
1440,5000,0,0,3,1440,0,1910,2006
2180,13529,0,0,3,1090,1090,1956,2001
1410,6000,0,0,3,810,600,1925,2002
1950,8251,0,0,3,1950,0,1990,2009
4860,23723,0,2,4,3820,1040,1989,0
1660,7210,0,0,3,1100,560,1963,2008
1390,12823,0,0,4,1390,0,1968,0
1350,14200,0,0,3,1350,0,1989,0
1530,5401,0,0,4,1530,0,1937,0
1270,5112,0,0,3,1270,0,1950,2005
2140,6355,0,0,3,2140,0,2002,0
2040,5616,0,0,3,2040,0,2012,1912
2876,5086,0,0,3,2360,516,2007,0
1580,1161,0,0,3,1010,570,2008,0
3400,5196,0,0,3,3400,0,2012,1912
