date,street,city,statezip,country
2014-05-02 00:00:00,23017 SE 281st Ct,Maple Valley,WA 98038,USA
2014-05-02 00:00:00,17825 4th Ave SW,Normandy Park,WA 98166,USA
2014-05-02 00:00:00,3628 59th Ave SW,Seattle,WA 98116,USA
2014-05-02 00:00:00,4460 332nd Ave SE,Fall City,WA 98024,USA
2014-05-02 00:00:00,2019 Aberdeen Pl SE,Renton,WA 98055,USA
2014-05-02 00:00:00,121 NE 147th St,Shoreline,WA 98155,USA
2014-05-02 00:00:00,4458 51st Ave SW,Seattle,WA 98116,USA
2014-05-02 00:00:00,7542 21st Ave SW,Seattle,WA 98106,USA
2014-05-02 00:00:00,15804 198th Pl NE,Woodinville,WA 98077,USA
2014-05-02 00:00:00,26069 SE 154th St,Issaquah,WA 98027,USA
2014-05-02 00:00:00,4314 NE 6th Pl,Renton,WA 98059,USA
2014-05-02 00:00:00,2640 NW 56th St,Seattle,WA 98107,USA
2014-05-02 00:00:00,15712 NE 136th Pl,Redmond,WA 98052,USA
2014-05-02 00:00:00,26429 SE 154th Pl,Issaquah,WA 98027,USA
2014-05-02 00:00:00,3923 229th Pl SE,Sammamish,WA 98075,USA
2014-05-02 00:00:00,6222 30th Ave NE,Seattle,WA 98115,USA
2014-05-02 00:00:00,32418 NE 50th St,Carnation,WA 98014,USA
2014-05-02 00:00:00,19334 89th Ave NE,Bothell,WA 98011,USA
2014-05-02 00:00:00,4071 156th Ave SE,Bellevue,WA 98006,USA
2014-05-02 00:00:00,36850 204th Ave SE,Auburn,WA 98092,USA
2014-05-02 00:00:00,7425 Snowberry Ave SE,Snoqualmie,WA 98065,USA
2014-05-02 00:00:00,3400 21st Ave W,Seattle,WA 98199,USA
2014-05-02 00:00:00,5944-6082 Delridge Way SW,Seattle,WA 98106,USA
2014-05-02 00:00:00,35229 SE Terrace St,Snoqualmie,WA 98065,USA
2014-05-02 00:00:00,13800 453rd Ave SE,North Bend,WA 98045,USA
2014-05-02 00:00:00,9927 174th Ave SE,Renton,WA 98059,USA
2014-05-02 00:00:00,29734 215th Terrace SE,Kent,WA 98042,USA
2014-05-03 00:00:00,5608 NE 5th Cir,Renton,WA 98059,USA
2014-05-03 00:00:00,8053 29th Ave NW,Seattle,WA 98117,USA
2014-05-03 00:00:00,13256 242nd Pl SE,Issaquah,WA 98027,USA
2014-05-03 00:00:00,7528 N Fork Rd SE,Snoqualmie,WA 98065,USA
2014-05-04 00:00:00,13134 234th Ct NE,Redmond,WA 98053,USA
2014-05-04 00:00:00,13420 SE 182nd St,Renton,WA 98058,USA
2014-05-04 00:00:00,925 48th Ct,Auburn,WA 98092,USA
2014-05-04 00:00:00,151 Euclid Ave,Seattle,WA 98122,USA
2014-05-04 00:00:00,205-206 Euclid Ave,Seattle,WA 98122,USA
2014-05-05 00:00:00,22314 NE 11th Pl,Sammamish,WA 98074,USA
2014-05-05 00:00:00,13615 NE 100th St,Kirkland,WA 98033,USA
2014-05-05 00:00:00,1411 N 48th St,Seattle,WA 98103,USA
2014-05-05 00:00:00,120 31st Ave E,Seattle,WA 98112,USA
2014-05-05 00:00:00,23140 NE 14th Ct,Sammamish,WA 98074,USA
2014-05-05 00:00:00,12645 SE 27th St,Bellevue,WA 98005,USA
2014-05-05 00:00:00,3187 NE Larkspur Ln,Issaquah,WA 98029,USA
2014-05-05 00:00:00,18915 SE 42nd Pl,Issaquah,WA 98027,USA
2014-05-05 00:00:00,1765 267th Ct SE,Sammamish,WA 98075,USA
2014-05-05 00:00:00,8624 Island Dr S,Seattle,WA 98118,USA
2014-05-05 00:00:00,24502 SE Mirrormont Dr,Issaquah,WA 98027,USA
2014-05-05 00:00:00,14319 85th Pl NE,Kirkland,WA 98034,USA
2014-05-05 00:00:00,2120 NE 168th St,Shoreline,WA 98155,USA
2014-05-05 00:00:00,209 30th Ave E,Seattle,WA 98112,USA
2014-05-05 00:00:00,10512 128th Ave NE,Kirkland,WA 98033,USA
2014-05-05 00:00:00,9126 45th Ave SW,Seattle,WA 98136,USA
2014-05-05 00:00:00,20220 8th Ave S,Des Moines,WA 98198,USA
2014-05-05 00:00:00,11821 NE 48th Pl,Kirkland,WA 98033,USA
2014-05-05 00:00:00,13026 10th Ave NW,Seattle,WA 98177,USA
2014-05-05 00:00:00,125 29th Ave,Seattle,WA 98122,USA
2014-05-05 00:00:00,2171 Boyer Ave E,Seattle,WA 98112,USA
2014-05-05 00:00:00,3434 33rd Ave W,Seattle,WA 98199,USA
2014-05-05 00:00:00,5211 116th Pl SE,Bellevue,WA 98006,USA
2014-05-05 00:00:00,3503 NE 44th St,Seattle,WA 98105,USA
2014-05-05 00:00:00,114 SW 292nd St,Federal Way,WA 98023,USA
2014-05-05 00:00:00,8536 Interlake Ave N,Seattle,WA 98103,USA
2014-05-05 00:00:00,3930 NE Belvoir Pl,Seattle,WA 98105,USA
2014-05-05 00:00:00,17132 SE 100th St,Renton,WA 98059,USA
2014-05-05 00:00:00,10204 168th Pl NE,Redmond,WA 98052,USA
2014-05-05 00:00:00,218 109th Ave SE,Bellevue,WA 98004,USA
2014-05-05 00:00:00,12621 SE 300th Way,Auburn,WA 98092,USA
2014-05-05 00:00:00,14013 Ashworth Ave N,Seattle,WA 98133,USA
2014-05-05 00:00:00,34010 SE Sorenson St,Snoqualmie,WA 98065,USA
2014-05-05 00:00:00,2506 166th Ave NE,Bellevue,WA 98008,USA
2014-05-05 00:00:00,8814 218th Ave NE,Redmond,WA 98053,USA
2014-05-05 00:00:00,4515 SW Trenton St,Seattle,WA 98136,USA
2014-05-05 00:00:00,4924 SW 314th Pl,Federal Way,WA 98023,USA
2014-05-05 00:00:00,4312 Woodlawn Ave N,Seattle,WA 98103,USA
2014-05-05 00:00:00,22912 SE 268th Pl,Maple Valley,WA 98038,USA
2014-05-05 00:00:00,27106 NE Miller St,Duvall,WA 98019,USA
2014-05-05 00:00:00,13129 195th Pl SE,Issaquah,WA 98027,USA
2014-05-05 00:00:00,1014 W Garfield St,Seattle,WA 98119,USA
2014-05-05 00:00:00,14150 75th Ave NE,Kirkland,WA 98034,USA
2014-05-05 00:00:00,2601 21st Ave S,Seattle,WA 98144,USA
2014-05-05 00:00:00,12807 7th Ave S,Burien,WA 98168,USA
2014-05-05 00:00:00,4529 135th Ave SE,Bellevue,WA 98006,USA
2014-05-05 00:00:00,1804 E Beaver Lake Dr SE,Sammamish,WA 98075,USA
2014-05-05 00:00:00,1701 N 204th Pl,Shoreline,WA 98133,USA
2014-05-05 00:00:00,8681 Beacon Ave S,Seattle,WA 98118,USA
2014-05-05 00:00:00,26408 NE 70th St,Redmond,WA 98053,USA
2014-05-05 00:00:00,17717 113th Pl SE,Renton,WA 98055,USA
2014-05-05 00:00:00,8040 39th Ave NE,Seattle,WA 98115,USA
2014-05-05 00:00:00,901 N 97th St,Seattle,WA 98103,USA
2014-05-05 00:00:00,519 N 104th St,Seattle,WA 98133,USA
2014-05-05 00:00:00,14017 Roslyn Pl N,Seattle,WA 98133,USA
2014-05-05 00:00:00,30001-30021 55th Pl S,Auburn,WA 98001,USA
2014-05-05 00:00:00,16026 SE 137th Terrace,Renton,WA 98059,USA
2014-05-05 00:00:00,22721-22727 SE 27th St,Sammamish,WA 98075,USA
2014-05-05 00:00:00,18027 SE 128th St,Renton,WA 98059,USA
2014-05-05 00:00:00,20927-20999 2nd Ave S,Des Moines,WA 98198,USA
2014-05-05 00:00:00,1857 41st Ave E,Seattle,WA 98112,USA
2014-05-05 00:00:00,353 NW 88th St,Seattle,WA 98117,USA
2014-05-05 00:00:00,18427 NE 26th Way,Redmond,WA 98052,USA
2014-05-05 00:00:00,2803 NE 62nd St,Seattle,WA 98115,USA
2014-05-05 00:00:00,13313 127th Pl NE,Kirkland,WA 98034,USA
2014-05-05 00:00:00,4532 185th Ave SE,Issaquah,WA 98027,USA
2014-05-05 00:00:00,9288-9358 Holman Rd NW,Seattle,WA 98117,USA
2014-05-05 00:00:00,4509 185th Ave SE,Issaquah,WA 98027,USA
2014-05-05 00:00:00,1318 29th Ave S,Seattle,WA 98144,USA
2014-05-05 00:00:00,12001 173rd Pl NE,Redmond,WA 98052,USA
2014-05-05 00:00:00,842 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA
2014-05-05 00:00:00,14359 19th Ave NE,Seattle,WA 98125,USA
2014-05-05 00:00:00,935 4th Ave NE,Issaquah,WA 98029,USA
2014-05-05 00:00:00,7809 12th Ave NE,Seattle,WA 98115,USA
2014-05-05 00:00:00,2027 Ferndale Ave NE,Renton,WA 98056,USA
2014-05-05 00:00:00,792 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA
2014-05-05 00:00:00,1273 NE Hickory Ln,Issaquah,WA 98029,USA
2014-05-05 00:00:00,17122 NE 117th St,Redmond,WA 98052,USA
2014-05-06 00:00:00,10601 NE 138th Pl,Kirkland,WA 98034,USA
2014-05-06 00:00:00,412 NW 70th St,Seattle,WA 98117,USA
2014-05-06 00:00:00,11051 35th Ave NE,Seattle,WA 98125,USA
2014-05-06 00:00:00,18114 NE 136th St,Redmond,WA 98052,USA
2014-05-06 00:00:00,25305 151st Pl SE,Covington,WA 98042,USA
2014-05-06 00:00:00,6422 Marshall Ave SW,Seattle,WA 98136,USA
2014-05-06 00:00:00,310 NW 72nd St,Seattle,WA 98117,USA
2014-05-06 00:00:00,9712 4th Ave NW,Seattle,WA 98117,USA
2014-05-06 00:00:00,9020-9024 11th Ave NW,Seattle,WA 98117,USA
2014-05-06 00:00:00,1629 S 261st Pl,Des Moines,WA 98198,USA
2014-05-06 00:00:00,2755 NW Pine Cone Dr,Issaquah,WA 98027,USA
2014-05-06 00:00:00,2815 SW 107th St,Seattle,WA 98146,USA
2014-05-06 00:00:00,6009 52nd Ave NE,Seattle,WA 98115,USA
2014-05-06 00:00:00,3922 SW Henderson St,Seattle,WA 98136,USA
2014-05-06 00:00:00,5631 17th Ave SW,Seattle,WA 98106,USA
2014-05-06 00:00:00,14876 Juanita Woodinville Way NE,Inglewood-Finn Hill,WA 98034,USA
2014-05-06 00:00:00,8652 17th Ave SW,Seattle,WA 98106,USA
2014-05-06 00:00:00,18305 Dayton Ave N,Shoreline,WA 98133,USA
2014-05-06 00:00:00,1415 168th Ave NE,Bellevue,WA 98008,USA
2014-05-06 00:00:00,19007 80th Ave NE,Kenmore,WA 98028,USA
2014-05-06 00:00:00,17435 SE 47th St,Bellevue,WA 98006,USA
2014-05-06 00:00:00,23024-23198 17th Ave S,Des Moines,WA 98198,USA
2014-05-06 00:00:00,32000-32072 NE 55th St,Carnation,WA 98014,USA
2014-05-06 00:00:00,17253 Ambaum Blvd S,Burien,WA 98148,USA
2014-05-06 00:00:00,8409 NE 129th Pl,Kirkland,WA 98034,USA
2014-05-06 00:00:00,25434 160th Ave SE,Kent,WA 98042,USA
2014-05-06 00:00:00,18048 3rd Ave NW,Shoreline,WA 98177,USA
2014-05-06 00:00:00,15007 75th Ave NE,Kenmore,WA 98028,USA
2014-05-06 00:00:00,5424 NE 10th St,Renton,WA 98059,USA
2014-05-06 00:00:00,207 NW 5th St,Renton,WA 98057,USA
2014-05-06 00:00:00,100 24th Ave E,Seattle,WA 98112,USA
2014-05-06 00:00:00,11853 SE 176th Ct,Renton,WA 98058,USA
2014-05-06 00:00:00,12633 NE 133rd Pl,Kirkland,WA 98034,USA
2014-05-06 00:00:00,15607 SE 42nd Ct,Bellevue,WA 98006,USA
2014-05-06 00:00:00,7422 NE 163rd St,Kenmore,WA 98028,USA
2014-05-06 00:00:00,1708 NW 96th St,Seattle,WA 98117,USA
2014-05-06 00:00:00,33945 28th Pl SW,Federal Way,WA 98023,USA
2014-05-06 00:00:00,16020 SE 2nd St,Bellevue,WA 98008,USA
2014-05-06 00:00:00,24507 NE 77th Pl,Redmond,WA 98053,USA
2014-05-06 00:00:00,32827 22nd Ave SW,Federal Way,WA 98023,USA
2014-05-06 00:00:00,415 NE 94th St,Seattle,WA 98115,USA
2014-05-06 00:00:00,2214 W Halladay St,Seattle,WA 98199,USA
2014-05-06 00:00:00,2560 39th Ave W,Seattle,WA 98199,USA
2014-05-06 00:00:00,12525 458th Ave SE,North Bend,WA 98045,USA
2014-05-06 00:00:00,920 221st Ave NE,Sammamish,WA 98074,USA
2014-05-06 00:00:00,9041 NE 160th Pl,Kenmore,WA 98028,USA
2014-05-06 00:00:00,16022 SE 43rd St,Bellevue,WA 98006,USA
2014-05-06 00:00:00,24201 SE 1st Pl,Sammamish,WA 98074,USA
2014-05-06 00:00:00,13714 Ashworth Ave N,Seattle,WA 98133,USA
2014-05-06 00:00:00,22344 NE 31st St,Sammamish,WA 98074,USA
2014-05-06 00:00:00,5650 NE 55th St,Seattle,WA 98105,USA
2014-05-06 00:00:00,17649 NE 129th Pl,Redmond,WA 98052,USA
2014-05-06 00:00:00,3250 165th Ave SE,Bellevue,WA 98008,USA
2014-05-06 00:00:00,21603 NE 29th St,Sammamish,WA 98074,USA
2014-05-06 00:00:00,4711 University View Pl NE,Seattle,WA 98105,USA
2014-05-06 00:00:00,14707 SE 84th St,Newcastle,WA 98059,USA
2014-05-06 00:00:00,31607-31633 44th Ave S,Auburn,WA 98001,USA
2014-05-06 00:00:00,12116 SE 71st Pl,Newcastle,WA 98056,USA
2014-05-06 00:00:00,15418 216th Ave NE,Woodinville,WA 98077,USA
2014-05-06 00:00:00,1703 NW 200th Ln,Shoreline,WA 98177,USA
2014-05-06 00:00:00,3230 NE 95th St,Seattle,WA 98115,USA
2014-05-06 00:00:00,7434 Winona Ave N,Seattle,WA 98103,USA
2014-05-06 00:00:00,5215 32nd Ave S,Seattle,WA 98118,USA
2014-05-06 00:00:00,4206 SE Newport Way,Bellevue,WA 98006,USA
2014-05-06 00:00:00,30020 43rd Pl S,Auburn,WA 98001,USA
2014-05-06 00:00:00,720 N 80th St,Seattle,WA 98103,USA
2014-05-06 00:00:00,8300 SE 82nd St,Mercer Island,WA 98040,USA
2014-05-06 00:00:00,31966 36th Ave SW,Federal Way,WA 98023,USA
2014-05-06 00:00:00,2112 N 50th St,Seattle,WA 98103,USA
2014-05-06 00:00:00,2516 Yale Ave E,Seattle,WA 98102,USA
2014-05-06 00:00:00,1003 SW 307th St,Federal Way,WA 98023,USA
2014-05-06 00:00:00,135 25th Ave E,Seattle,WA 98112,USA
2014-05-06 00:00:00,3665 Renton Ave S,Seattle,WA 98144,USA
2014-05-06 00:00:00,7000 23rd Ave NW,Seattle,WA 98117,USA
2014-05-06 00:00:00,710 S 23rd St,Renton,WA 98055,USA
2014-05-06 00:00:00,8846 Midvale Ave N,Seattle,WA 98103,USA
2014-05-06 00:00:00,1435 104th Ave SE,Bellevue,WA 98004,USA
2014-05-06 00:00:00,16775 NE 86th Ct,Redmond,WA 98052,USA
2014-05-07 00:00:00,1749 NW 60th St,Seattle,WA 98107,USA
2014-05-07 00:00:00,105 SW 129th St,Burien,WA 98146,USA
2014-05-07 00:00:00,5628 NE 59th St,Seattle,WA 98105,USA
2014-05-07 00:00:00,1028 NE 153rd Ct,Shoreline,WA 98155,USA
2014-05-07 00:00:00,25823 NE 30th Ct,Redmond,WA 98053,USA
2014-05-07 00:00:00,25502 Kanasket Dr,Black Diamond,WA 98010,USA
2014-05-07 00:00:00,9626 NE 129th Pl,Kirkland,WA 98034,USA
2014-05-07 00:00:00,21326 SE 277th Pl,Maple Valley,WA 98038,USA
2014-05-07 00:00:00,14613 6th Ave SW,Burien,WA 98166,USA
2014-05-07 00:00:00,19313 140th Pl SE,Renton,WA 98058,USA
2014-05-07 00:00:00,2806 13th Ave W,Seattle,WA 98119,USA
2014-05-07 00:00:00,25339 SE 248th St,Ravensdale,WA 98051,USA
2014-05-07 00:00:00,8809 Densmore Ave N,Seattle,WA 98103,USA
2014-05-07 00:00:00,10627 NE 45th St,Kirkland,WA 98033,USA
2014-05-07 00:00:00,16635 SE 268th St,Covington,WA 98042,USA
2014-05-07 00:00:00,19654 116th Ave SE,Kent,WA 98031,USA
2014-05-07 00:00:00,5003 159th Ct NE,Redmond,WA 98052,USA
2014-05-07 00:00:00,4 128th Ave SE,Bellevue,WA 98005,USA
2014-05-07 00:00:00,3845 Whitman Ave N,Seattle,WA 98103,USA
2014-05-07 00:00:00,32223 NE 88th St,Carnation,WA 98014,USA
2014-05-07 00:00:00,15204 88th Ave NE,Bothell,WA 98028,USA
2014-05-07 00:00:00,624 SW 137th St,Burien,WA 98166,USA
2014-05-07 00:00:00,29645 10th Pl S,Federal Way,WA 98003,USA
2014-05-07 00:00:00,1230 Warren Ave N,Seattle,WA 98109,USA
2014-05-07 00:00:00,1713 22nd Ave S,Seattle,WA 98144,USA
2014-05-07 00:00:00,33331 NE Lake Joy Rd,Carnation,WA 98014,USA
2014-05-07 00:00:00,9703 130th Ave NE,Kirkland,WA 98033,USA
2014-05-07 00:00:00,234 W Lake Sammamish Pkwy SE,Bellevue,WA 98008,USA
2014-05-07 00:00:00,4140 53rd Ave SW,Seattle,WA 98116,USA
2014-05-07 00:00:00,206 Oakesdale Ave SW,Renton,WA 98057,USA
2014-05-07 00:00:00,5531 Seward Park Ave S,Seattle,WA 98118,USA
2014-05-07 00:00:00,232 SW 154th St,Burien,WA 98166,USA
2014-05-07 00:00:00,11105 126th Ave NE,Kirkland,WA 98033,USA
2014-05-07 00:00:00,18611 SE 307th Ln,Kent,WA 98042,USA
2014-05-07 00:00:00,25525 SE 133rd St,Issaquah,WA 98027,USA
2014-05-07 00:00:00,331 22nd Ave E,Seattle,WA 98112,USA
2014-05-07 00:00:00,4602 Woodlawn Ave N,Seattle,WA 98103,USA
2014-05-07 00:00:00,3723 S Chicago St,Seattle,WA 98118,USA
2014-05-07 00:00:00,12921 79th Pl NE,Kirkland,WA 98034,USA
2014-05-07 00:00:00,232nd Way,Redmond,WA 98053,USA
2014-05-07 00:00:00,6253-6299 15th Ave NE,Seattle,WA 98115,USA
2014-05-07 00:00:00,1718 N 175th St,Shoreline,WA 98133,USA
2014-05-07 00:00:00,1225 N 41st Pl,Renton,WA 98056,USA
2014-05-07 00:00:00,12809-12907 206th Ave NE,Woodinville,WA 98077,USA
2014-05-07 00:00:00,9724 NE 14th St,Clyde Hill,WA 98004,USA
2014-05-07 00:00:00,6708 14th Ave NW,Seattle,WA 98117,USA
2014-05-07 00:00:00,1902 45th Ave SW,Seattle,WA 98116,USA
2014-05-07 00:00:00,1234 22nd Ave E,Seattle,WA 98112,USA
2014-05-07 00:00:00,32631 39th Ave SW,Federal Way,WA 98023,USA
2014-05-07 00:00:00,4421-4564 186th Ave SE,Issaquah,WA 98027,USA
2014-05-07 00:00:00,1200 N 27th Pl,Renton,WA 98056,USA
2014-05-07 00:00:00,4313 SW Willow St,Seattle,WA 98136,USA
2014-05-07 00:00:00,1761 17th Ave S,Seattle,WA 98144,USA
2014-05-07 00:00:00,3301-3389 289th Ave NE,Redmond,WA 98053,USA
2014-05-07 00:00:00,19501 135th Ave SE,Renton,WA 98058,USA
2014-05-07 00:00:00,903 22nd Ave E,Seattle,WA 98112,USA
2014-05-07 00:00:00,3529 W Howe St,Seattle,WA 98199,USA
2014-05-07 00:00:00,20821 SE 135th St,Issaquah,WA 98027,USA
2014-05-07 00:00:00,11907 SE 261st Pl,Kent,WA 98030,USA
2014-05-07 00:00:00,18227 SE 135th St,Renton,WA 98059,USA
2014-05-07 00:00:00,5902 37th Ave SW,Seattle,WA 98126,USA
2014-05-07 00:00:00,138 Seattle Blvd S,Algona,WA 98001,USA
2014-05-07 00:00:00,15007-15299 37th Ave NE,Lake Forest Park,WA 98155,USA
2014-05-07 00:00:00,18911 NE 165th Pl,Woodinville,WA 98072,USA
2014-05-07 00:00:00,5146 S 303rd Pl,Auburn,WA 98001,USA
2014-05-07 00:00:00,3827 39th Ave S,Seattle,WA 98118,USA
2014-05-07 00:00:00,4703-4707 4th Ave NE,Seattle,WA 98105,USA
2014-05-07 00:00:00,1010 NW Inneswood Dr,Issaquah,WA 98027,USA
2014-05-07 00:00:00,517 32nd Ave S,Seattle,WA 98144,USA
2014-05-07 00:00:00,733 1st Ave N,Kent,WA 98032,USA
2014-05-07 00:00:00,32016 8th Ave S,Federal Way,WA 98003,USA
2014-05-07 00:00:00,27000-27080 201st Ave SE,Covington,WA 98042,USA
2014-05-07 00:00:00,8514 S 124th St,Seattle,WA 98178,USA
2014-05-07 00:00:00,19302 65th Pl NE,Kenmore,WA 98028,USA
2014-05-07 00:00:00,2145 Condon Way W,Seattle,WA 98199,USA
2014-05-07 00:00:00,605 N 178th St,Shoreline,WA 98133,USA
2014-05-07 00:00:00,25408 Lake Wilderness Country Club Dr SE,Maple Valley,WA 98038,USA
2014-05-07 00:00:00,3235 30th Ave W,Seattle,WA 98199,USA
2014-05-07 00:00:00,13248 Occidental Ave S,Burien,WA 98168,USA
2014-05-07 00:00:00,11304 Corliss Ave N,Seattle,WA 98133,USA
2014-05-07 00:00:00,11017 101st Pl NE,Kirkland,WA 98033,USA
2014-05-07 00:00:00,10908 101st Pl NE,Kirkland,WA 98033,USA
2014-05-07 00:00:00,3631 Greenwood Ave N,Seattle,WA 98103,USA
2014-05-07 00:00:00,31898 50th Pl S,Auburn,WA 98001,USA
2014-05-07 00:00:00,7956 46th Ave S,Seattle,WA 98118,USA
2014-05-07 00:00:00,12303 Sand Point Way NE,Seattle,WA 98125,USA
2014-05-07 00:00:00,513 N 46th St,Seattle,WA 98103,USA
2014-05-08 00:00:00,2814 13th Ave W,Seattle,WA 98119,USA
2014-05-08 00:00:00,27930 NE 147th Pl,Duvall,WA 98019,USA
2014-05-08 00:00:00,7401 92nd Pl SE,Mercer Island,WA 98040,USA
2014-05-08 00:00:00,30633 21st Ave SW,Federal Way,WA 98023,USA
2014-05-08 00:00:00,544 NE 84th St,Seattle,WA 98115,USA
2014-05-08 00:00:00,1825 251st Pl SE,Sammamish,WA 98075,USA
2014-05-08 00:00:00,5200-5298 90th Ave SE,Mercer Island,WA 98040,USA
2014-05-08 00:00:00,3612 Interlake Ave N,Seattle,WA 98103,USA
2014-05-08 00:00:00,434 Pullman Ave,Algona,WA 98001,USA
2014-05-08 00:00:00,1669 28th Ave NE,Issaquah,WA 98029,USA
2014-05-08 00:00:00,235 Thelma St,Skykomish,WA 98288,USA
2014-05-08 00:00:00,12207 NE 139th Pl,Kirkland,WA 98034,USA
2014-05-08 00:00:00,8448 Delridge Way SW,Seattle,WA 98106,USA
2014-05-08 00:00:00,624 Lake Washington Blvd E,Seattle,WA 98112,USA
2014-05-08 00:00:00,23733 NE Salal Pl,Redmond,WA 98053,USA
2014-05-08 00:00:00,24345 35th Pl S,Kent,WA 98032,USA
2014-05-08 00:00:00,14816 SE 278th St,Kent,WA 98042,USA
2014-05-08 00:00:00,27469-27501 SE 154th Pl,Issaquah,WA 98027,USA
2014-05-08 00:00:00,4022 SW Walker St,Seattle,WA 98116,USA
2014-05-08 00:00:00,28123 123rd Pl SE,Kent,WA 98030,USA
2014-05-08 00:00:00,15020 SE 281st St,Kent,WA 98042,USA
2014-05-08 00:00:00,17622 12th Ave SW,Normandy Park,WA 98166,USA
2014-05-08 00:00:00,2509 33rd Ave S,Seattle,WA 98144,USA
2014-05-08 00:00:00,7304 217th Pl NE,Redmond,WA 98053,USA
2014-05-08 00:00:00,11921 SE 205th St,Kent,WA 98031,USA
2014-05-08 00:00:00,8230 Corliss Ave N,Seattle,WA 98103,USA
2014-05-08 00:00:00,12612 23rd Ave S,Seattle,WA 98168,USA
2014-05-08 00:00:00,3002 109th Ave SE,Bellevue,WA 98004,USA
2014-05-08 00:00:00,13711 SE 251 Pl,Kent,WA 98042,USA
2014-05-08 00:00:00,18748 SE 330th St,Auburn,WA 98092,USA
2014-05-08 00:00:00,1914 S 375th St,Federal Way,WA 98003,USA
2014-05-08 00:00:00,14317 22nd Ave NE,Seattle,WA 98125,USA
2014-05-08 00:00:00,468 Scenic Way,Kent,WA 98030,USA
2014-05-08 00:00:00,4305 S Webster St,Seattle,WA 98118,USA
2014-05-08 00:00:00,1816 26th Ave,Seattle,WA 98122,USA
2014-05-08 00:00:00,1031 272nd Pl SE,Sammamish,WA 98075,USA
2014-05-08 00:00:00,5933 S Eastwood Dr,Seattle,WA 98178,USA
2014-05-08 00:00:00,13221 3rd Ave NW,Seattle,WA 98177,USA
2014-05-08 00:00:00,5524 161st Pl NE,Redmond,WA 98052,USA
2014-05-08 00:00:00,3220 170th Ave NE,Bellevue,WA 98008,USA
2014-05-08 00:00:00,806 15th Ave E,Seattle,WA 98112,USA
2014-05-08 00:00:00,2561 3rd Ave W,Seattle,WA 98119,USA
2014-05-08 00:00:00,13812 196th Ave NE,Woodinville,WA 98077,USA
2014-05-08 00:00:00,9842 Vineyard Crest,Bellevue,WA 98004,USA
2014-05-08 00:00:00,1012 N 42nd Pl,Renton,WA 98056,USA
